Icon	#	Point From	Point To	Reflector Height (m)	Azimuth	Horizontal Circle	Slope Distance (m)	Zenith Angle	Date	Note	Code	Type	SDist Residual (m)	ZAngle Residual	Azimuth Residual	Cross Residual (m)	HAngle Residual
 	107	1	108	1.983	 	"223°53'14.0000"""	166.045	"90°02'23.0000"""	 	 	rand	SS	 	 	 	 	 
 	108	1	109	1.983	 	"222°36'35.0000"""	164.72	"89°59'38.0000"""	 	 	rand	SS	 	 	 	 	 
 	109	1	110	1.983	 	"219°56'39.0000"""	162.478	"89°53'40.0000"""	 	 	rand	SS	 	 	 	 	 
 	110	1	111	1.983	 	"215°19'35.0000"""	159.724	"89°53'34.0000"""	 	 	rand	SS	 	 	 	 	 
 	111	1	112	1.983	 	"223°50'51.0000"""	155.584	"89°59'52.0000"""	 	 	rand	SS	 	 	 	 	 
 	112	1	113	1.983	 	"223°22'21.0000"""	155.319	"89°56'58.0000"""	 	 	rand	SS	 	 	 	 	 
 	113	1	114	1.483	 	"204°03'38.0000"""	155.546	"89°52'40.0000"""	 	 	pt7	SS	 	 	 	 	 
 	114	1	115	1.483	 	"24°04'01.0000"""	155.547	"270°07'30.0000"""	 	 	pt7	SS	 	 	 	 	 
 	115	1	116	1.483	 	"204°03'56.0000"""	155.549	"89°52'41.0000"""	 	 	pt7	SS	 	 	 	 	 
 	116	1	117	1.483	 	"24°03'59.0000"""	155.549	"270°07'24.0000"""	 	 	pt7	SS	 	 	 	 	 
 	117	1	118	1.483	 	"353°32'45.0000"""	43.84	"269°44'39.0000"""	 	 	rand	SS	 	 	 	 	 
 	118	1	119	1.483	 	"358°03'28.0000"""	39.775	"269°31'01.0000"""	 	 	rand	SS	 	 	 	 	 
 	119	1	120	1.483	 	"3°52'17.0000"""	35.691	"269°14'58.0000"""	 	 	rand	SS	 	 	 	 	 
 	120	1	121	1.483	 	"263°38'19.0000"""	9.249	"269°49'27.0000"""	 	 	pt3	SS	 	 	 	 	 
 	121	1	122	1.483	 	"241°18'41.0000"""	400.086	"89°30'24.0000"""	 	 	rand	SS	 	 	 	 	 
 	122	1	123	1.483	 	"20°39'47.0000"""	38.71	"269°18'01.0000"""	 	 	rand	SS	 	 	 	 	 
 	123	1	124	1.483	 	"13°51'27.0000"""	42.744	"269°32'27.0000"""	 	 	rand	SS	 	 	 	 	 
 	124	1	125	1.483	 	"6°22'59.0000"""	52.07	"269°46'58.0000"""	 	 	rand	SS	 	 	 	 	 
 	125	1	126	1.483	 	"42°44'16.0000"""	58.291	"90°20'59.0000"""	 	 	rand	SS	 	 	 	 	 
 	126	1	127	1.483	 	"55°09'31.0000"""	64.162	"90°10'53.0000"""	 	 	rand	SS	 	 	 	 	 
 	127	1	128	1.483	 	"35°18'22.0000"""	53.593	"90°09'33.0000"""	 	 	pt2	SS	 	 	 	 	 
 	128	1	129	1.483	 	"33°27'52.0000"""	80.078	"90°21'11.0000"""	 	 	transect4	SS	 	 	 	 	 
 	129	1	130	1.483	 	"34°23'01.0000"""	80.132	"90°12'39.0000"""	 	 	transect4	SS	 	 	 	 	 
 	130	1	131	1.483	 	"34°02'53.0000"""	80.142	"90°14'52.0000"""	 	 	transect4	SS	 	 	 	 	 
 	131	1	132	1.483	 	"33°51'43.0000"""	80.229	"90°15'40.0000"""	 	 	transect4	SS	 	 	 	 	 
 	132	1	133	1.483	 	"34°32'45.0000"""	80.347	"90°12'25.0000"""	 	 	transect4	SS	 	 	 	 	 
 	133	1	134	1.483	 	"34°44'08.0000"""	80.411	"90°11'59.0000"""	 	 	transect4	SS	 	 	 	 	 
 	134	1	135	1.483	 	"36°42'27.0000"""	80.491	"90°07'55.0000"""	 	 	transect4	SS	 	 	 	 	 
 	135	1	136	1.483	 	"36°06'43.0000"""	80.495	"90°11'07.0000"""	 	 	transect4	SS	 	 	 	 	 
 	136	1	137	1.483	 	"36°23'02.0000"""	80.421	"90°09'49.0000"""	 	 	transect4	SS	 	 	 	 	 
 	137	1	138	1.483	 	"42°17'38.0000"""	81.471	"90°07'47.0000"""	 	 	transect4	SS	 	 	 	 	 
 	138	1	139	1.483	 	"47°36'20.0000"""	82.405	"90°14'29.0000"""	 	 	transect4	SS	 	 	 	 	 
 	139	1	140	1.483	 	"50°12'24.0000"""	82.632	"90°13'21.0000"""	 	 	transect4	SS	 	 	 	 	 
 	140	1	141	1.483	 	"51°44'48.0000"""	83.084	"90°10'06.0000"""	 	 	transect4	SS	 	 	 	 	 
 	141	1	142	1.483	 	"52°31'54.0000"""	83.431	"90°08'45.0000"""	 	 	transect4	SS	 	 	 	 	 
 	142	1	143	1.483	 	"53°08'23.0000"""	83.862	"90°06'50.0000"""	 	 	transect4	SS	 	 	 	 	 
 	143	1	144	2.483	 	"54°32'52.0000"""	85.318	"89°25'13.0000"""	 	 	transect4	SS	 	 	 	 	 
 	144	1	145	2.483	 	"54°43'22.0000"""	85.818	"89°24'40.0000"""	 	 	transect4	SS	 	 	 	 	 
 	145	1	146	1.483	 	"23°30'32.0000"""	174.651	"89°58'43.0000"""	 	 	pt1	SS	 	 	 	 	 
 	146	1	147	1.983	 	"24°36'08.0000"""	169.444	"90°05'11.0000"""	 	 	transect5	SS	 	 	 	 	 
 	147	1	148	1.983	 	"24°58'21.0000"""	169.583	"90°01'55.0000"""	 	 	transect5	SS	 	 	 	 	 
 	148	1	149	1.983	 	"25°35'46.0000"""	170.4	"90°01'35.0000"""	 	 	transect5	SS	 	 	 	 	 
 	149	1	150	1.983	 	"26°16'24.0000"""	171.009	"89°59'14.0000"""	 	 	transect5	SS	 	 	 	 	 
