Icon	Name	Ground Northing	Ground Easting	Elevation	Code	Note
 	126	2042.812	2039.558	10.162	 	 
 	127	2036.656	2052.66	10.314	 	 
 	128	2043.735	2030.974	10.368	 	 
 	129	2066.802	2044.156	10.024	 	 
 	130	2066.131	2045.253	10.223	 	 
 	131	2066.403	2044.87	10.171	 	 
 	132	2066.62	2044.703	10.152	 	 
 	133	2066.179	2045.562	10.227	 	 
 	134	2066.08	2045.817	10.237	 	 
 	135	2064.529	2048.112	10.332	 	 
 	136	2065.029	2047.441	10.257	 	 
 	137	2064.744	2047.705	10.288	 	 
 	138	2060.264	2054.825	10.333	 	 
 	139	2055.56	2060.857	10.17	 	 
 	140	2052.886	2063.49	10.197	 	 
 	141	2051.44	2065.244	10.273	 	 
 	142	2050.753	2066.218	10.305	 	 
 	143	2050.306	2067.098	10.351	 	 
 	144	2049.484	2069.496	10.381	 	 
 	145	2049.56	2070.055	10.4	 	 
 	146	2160.154	2069.667	10.584	 	 
 	147	2154.062	2070.542	9.764	 	 
 	148	2153.729	2071.595	9.925	 	 
 	149	2153.677	2073.617	9.94	 	 
 	150	2153.342	2075.698	10.057	 	 
 	151	2153.422	2075.45	10.048	 	 
 	152	2153.58	2075.101	10.028	 	 
 	153	2153.247	2076.672	10.056	 	 
 	154	2152.57	2080.036	10.148	 	 
 	155	2151.862	2082.528	10.347	 	 
 	156	2152.182	2081.618	10.297	 	 
 	157	2152.233	2080.986	10.269	 	 
 	158	2152.29	2080.747	10.24	 	 
 	159	2151.984	2081.535	10.293	 	 
 	160	2151.676	2082.995	10.38	 	 
 	161	2151.284	2084.003	10.419	 	 
 	162	2151.628	2083.839	10.412	 	 
 	163	2197.223	2063.271	10.032	 	 
 	164	2197.106	2063.821	10.164	 	 
 	165	2133.341	2064.78	10.048	 	 
 	166	2133.688	2080.151	10.316	 	 
 	167	2278.14	2058.827	10.091	 	 
 	168	2278.063	2058.429	9.983	 	 
 	169	2278.058	2058.565	10.016	 	 
 	170	2278.237	2059.389	10.122	 	 
 	171	2278.783	2061.207	10.123	 	 
 	172	2278.923	2061.599	10.2	 	 
 	173	2278.843	2061.314	10.146	 	 
 	174	2279.246	2062.015	10.353	 	 
 	175	2279.21	2061.831	10.301	 	 
 	176	2279.564	2062.369	10.438	 	 
 	177	2279.354	2062.094	10.384	 	 
 	178	2279.41	2062.293	10.43	 	 
 	179	2279.391	2062.214	10.409	 	 
 	180	2279.064	2061.579	10.2	 	 
 	181	2279.099	2061.714	10.25	 	 
 	182	2279.067	2061.667	10.235	 	 
 	183	2160.132	2069.695	10.584	 	 
 	184	2160.136	2069.697	10.583
